A16R27;A16R27;29;1;2017;Черное море;СБК?;С рынка Керчи: Скорее всего Северный Кавказ;;;;9;СРТМ-К;"Сичеслав-Юг";;15.05.2017 0:00:00;Мороженая: удовл.;75 - 120;95 - 100;97,5;193;1434,28;7,43150259067358;34,0778629348639;14,1202434263338;13,6414537378986;9;9;3;0;0;40;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2016_2017.xls; ;
A16R28;A16R28;2;4;2017;Азовское море;АМ;Азовское море;;;;8,1;;;;15.05.2017 0:00:00;Мороженая: удовл.;70 - 120;95 - 100;95;154;928,88;6,03168831168831;26,2307449343615;8,35379169146124;6,64182448145043;10;10;3;0;0;40;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2016_2017.xls; ;
A16R29;A16R29;6;3;2017;Черное море?;СБК?;из Керчи;;;;;;;;16.05.2017 0:00:00;Мороженая: удовл.;65 - 115;90 - 95;90;65;441,97;6,79953846153846;30,8964004301513;0;10,8035891836949;10;10;0;0;0;0;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2016_2017.xls; ;
A16R31;A16R31;24;12;2016;Черное море;СБК?;Анапа?;;;;;;;;25.12.2017 0:00:00;Мороженая: плохое;75 - 120;95 - 100;97,5;76;170,433;2,24253947368421;35,3519258413709;0;14,7779178505028;9;9;0;60;0;60;С рынка Керчи: скорее всего Северный Кавказ. Жирность по индивидуальным пробам;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2016_2017.xls; ;
A17R02;A17R02;7;11;2017;Керченский пролив;КПП;Юркино;;;;11,1;ставник;;;11.12.2017 0:00:00;Мороженая: хорошее;85 - 125;105 - 110;105;71;646,39;9,10408450704225;33,8660185017003;14,607837307304;13,4524885035166;8;8;3;26;2;54;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
A17R03;A17R03;7;11;2017;Азовское море;АМ;Золотое;;;;11,2;ставник;;;11.12.2017 0:00:00;Мороженая: хорошее;60 - 130;95 - 105;98,75;103;937,6;9,10291262135922;34,8385644179115;13,9684571649182;14,3199994607771;12;12;3;28;3;65;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
A17R01;A17R01;24;11;2017;Черное море;СБК;Анапа;44°46?0 "  , ш,;34°48?4 "  , д,;;13,5;ММРТ;"Квант";;05.12.2017 0:00:00;Мороженая: хорошее;60 - 125;90 - 95;92,5;129;963,4;7,46821705426356;34,9985103523339;15,5766666666667;14,4626712342818;13;13;3;34;3;78;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
A17R04;A17R04;29;10;2017;Азовское море;АМ;Новоотрадное;;;;13;ставник;;;13.12.2017 0:00:00;Мороженая: хорошее;70 - 130;105 - 110;105,833333333333;102;973,34;9,54254901960784;35,044061381708;17,0452812265067;14,5033027524836;9;9;3;35;3;57;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
A17R05;A17R05;11;10;2017;Азовское море;АМ;;;;;15,7;ставник;;;18.12.2017 0:00:00;Мороженая: хорошее;85 - 125;105 - 110;105;94;985,34;10,4823404255319;39,2269131965854;18,0200706343576;18,2344065713541;8;8;3;41;3;61;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
A17R06;A17R06;4;10;2017;Азовское море;АМ;Золотое;;;;16;;;;20.12.2017 0:00:00;Мороженая;70 - 130;100 - 105;102,045454545455;95;963,27;10,1396842105263;39,9989206850331;20,382415149331;18,9230372510496;11;11;3;51;3;66;;Журнал Хамса 2017-2018 гг. ;Anchovy_data_2017_2018.xls; ;
